Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
56751,12,5,14,7,B,K,N,B,B,E,8,H,B,20,1,A,K,Y,83,8,N,18,C,2,34,1,11,1,Y,Y,D,2,4
65865,7,6,21,3,N,K,N,B,B,E,12,J,B,15,3,A,M,Y,82,12,N,13,A,1,28,1,2,5,Y,Y,E,1,4
65923,2,5,7,5,C,K,Y,B,B,E,3,J,B,20,2,A,R,N,39,7,N,4,A,2,40,1,12,5,Y,N,D,2,2
48868,5,13,11,2,N,K,N,B,A,E,3,I,B,10,2,A,R,N,96,21,N,19,A,2,31,1,19,6,Y,N,E,2,10
41242,2,14,20,7,N,C,Y,B,B,D,3,L,B,5,1,A,I,Y,61,9,N,15,A,2,25,1,7,7,Y,Y,E,2,2
94989,6,4,19,4,N,K,N,B,B,E,12,H,B,10,1,A,M,Y,96,9,N,11,C,2,37,1,1,4,Y,Y,E,2,1
93890,1,13,12,1,W,H,Y,D,B,E,2,J,B,20,3,A,J,N,45,10,N,6,B,2,37,1,15,1,N,N,A,3,1
4521,1,12,3,2,N,H,N,B,B,E,2,H,B,15,1,A,K,N,34,16,N,10,B,3,37,1,7,6,N,N,A,3,1
15413,5,9,15,1,W,H,N,B,B,F,8,H,B,15,1,A,O,N,68,13,N,4,B,2,25,1,14,3,N,N,A,3,1
51762,1,17,1,1,N,K,N,B,B,E,12,H,B,20,1,C,K,N,41,7,N,9,A,1,28,1,10,6,N,N,C,2,1
59414,10,9,7,3,N,C,N,B,B,D,3,B,B,10,1,A,I,N,45,15,N,14,A,3,37,1,3,3,Y,N,E,3,7
5421,1,2,5,3,C,A,Y,B,B,D,3,F,B,10,2,A,I,N,46,14,N,19,B,2,40,1,22,6,Y,N,E,2,3
19685,1,12,18,4,B,H,N,B,B,D,12,B,B,15,1,A,A,N,37,13,Y,4,C,2,31,1,1,3,Y,N,E,4,1
71847,1,12,16,5,N,H,N,B,B,E,12,H,B,10,1,A,K,N,35,13,N,4,B,2,28,1,5,4,N,N,A,4,1
50841,1,9,19,4,B,B,Y,B,D,D,8,B,B,15,3,A,I,N,68,13,N,18,A,1,25,1,8,6,Y,N,C,1,10
15553,1,7,17,5,B,A,N,B,B,D,3,B,A,15,1,A,I,N,93,6,Y,19,A,1,34,1,17,7,N,N,E,1,11
71973,9,19,20,2,W,K,Y,B,B,E,12,J,B,15,3,A,K,Y,94,16,Y,6,C,2,31,1,4,3,Y,Y,E,2,1
51413,2,14,4,3,B,K,N,B,B,E,3,H,B,10,1,A,K,N,67,11,Y,8,A,2,31,1,17,4,N,N,A,2,4
42468,8,3,17,7,N,C,N,B,B,D,3,B,B,10,1,A,B,Y,52,11,N,6,C,2,37,1,16,1,Y,Y,E,2,1
12704,4,5,5,3,C,A,N,B,B,D,8,B,B,10,3,N,B,N,28,8,N,10,B,1,37,1,11,3,N,N,A,4,1
13622,1,16,17,4,B,I,N,B,B,E,8,H,B,15,1,A,J,Y,99,10,Y,18,A,2,37,1,4,5,Y,Y,E,2,3
23681,1,17,11,2,B,A,N,B,B,D,12,L,B,20,1,A,I,N,87,8,N,15,A,2,34,1,5,5,N,N,E,2,1
94823,1,13,8,5,B,C,N,B,B,D,7,B,B,20,1,A,A,Y,85,17,N,11,A,2,25,1,6,1,Y,Y,E,2,5
14415,1,8,1,1,N,K,N,B,B,E,8,J,C,20,2,A,K,N,78,15,N,7,C,2,28,1,13,6,Y,N,E,4,1
53588,1,5,5,3,N,A,Y,B,B,D,12,B,B,20,1,A,B,Y,86,7,N,6,C,1,40,1,13,7,Y,Y,E,1,1
98348,1,7,19,2,B,H,N,B,B,E,12,H,B,15,1,C,K,Y,92,7,N,15,B,2,28,1,3,4,Y,Y,E,2,1
20855,7,18,14,5,N,K,N,B,B,E,3,H,B,10,3,A,K,Y,79,8,N,16,A,2,37,1,6,6,Y,Y,E,2,5
1622,1,8,19,3,W,H,N,A,B,D,3,B,B,20,1,A,E,N,89,15,N,8,A,2,31,1,19,7,Y,N,C,4,4
29215,7,14,20,1,N,K,N,B,C,E,8,H,B,15,1,A,J,N,96,15,N,16,A,1,31,1,25,7,Y,N,C,1,1
5,1,13,19,5,N,H,N,B,B,E,7,H,B,10,1,A,J,N,75,10,Y,11,B,1,22,1,2,7,N,N,E,1,1
81598,2,11,17,6,W,C,N,B,B,D,8,L,B,20,1,A,I,Y,88,8,Y,7,A,2,40,2,1,2,Y,Y,E,2,5
26181,1,9,15,2,B,I,N,B,B,E,8,H,B,15,1,A,K,N,99,17,Y,17,A,2,37,1,16,6,Y,N,E,2,11
88551,7,18,12,2,W,I,N,B,B,E,3,H,B,15,2,A,R,N,56,9,Y,10,A,1,34,1,19,6,N,N,A,2,2
16371,7,16,1,1,B,H,N,B,B,E,8,J,B,15,3,A,K,N,23,6,Y,14,B,1,37,1,9,3,Y,N,E,1,1
21287,1,7,4,3,B,A,N,B,B,B,12,L,C,20,3,A,I,N,42,11,N,15,A,2,22,1,7,5,Y,N,E,2,4
16079,6,12,20,6,W,I,N,B,B,E,3,H,B,5,1,W,J,N,56,10,N,7,A,1,25,1,6,3,N,N,D,5,4
73529,6,8,17,5,N,K,Y,B,B,E,12,I,B,10,1,A,R,N,98,9,N,17,A,2,40,1,9,4,Y,N,C,2,11
56670,2,11,13,8,N,C,N,B,C,D,3,L,B,15,1,A,A,N,53,17,N,8,A,2,40,1,18,4,Y,N,E,2,8
19078,1,7,7,2,N,A,N,B,B,D,3,B,B,10,3,A,I,N,21,7,N,8,A,1,40,1,16,3,Y,N,D,1,7
32190,1,3,22,2,C,H,Y,B,B,D,7,L,D,15,1,A,I,N,51,20,N,9,A,1,40,1,18,7,Y,N,E,2,1
84487,8,5,4,3,C,K,N,B,B,E,3,J,B,20,2,N,K,Y,86,9,Y,10,C,2,34,1,16,7,Y,Y,E,2,1
56968,2,12,12,2,N,H,Y,B,B,E,8,H,B,15,2,A,R,N,37,11,Y,6,B,2,40,1,4,7,N,N,A,2,1
100834,4,13,22,5,B,C,Y,B,B,D,7,L,B,10,1,A,E,N,81,11,N,18,A,2,37,1,6,4,Y,N,D,2,4
48618,4,8,18,4,W,H,Y,B,B,B,12,B,B,20,3,H,I,N,39,16,Y,4,B,2,28,1,12,7,N,N,A,2,1
32139,1,14,15,3,W,H,N,B,B,D,8,B,B,10,3,A,I,N,82,10,N,11,A,2,31,1,7,7,Y,N,C,5,4
76446,1,7,15,1,B,A,N,B,B,D,12,B,D,15,3,A,B,N,25,8,Y,5,A,2,25,1,17,4,Y,N,E,2,1
16337,4,15,16,1,B,I,Y,B,B,E,12,I,B,5,1,A,Q,N,10,9,N,9,A,2,40,1,17,7,Y,N,E,2,1
77837,1,6,3,1,B,K,Y,B,B,E,8,H,B,15,3,A,K,N,22,8,N,16,A,2,37,1,20,4,Y,N,E,2,1
90196,16,10,13,4,C,C,Y,B,B,B,8,L,B,15,1,A,I,N,34,22,N,7,B,2,25,1,17,5,Y,N,E,3,1
237,3,8,16,2,N,K,Y,B,B,E,12,J,B,20,1,A,K,N,24,18,N,10,A,2,25,1,24,2,Y,N,E,2,5
67088,2,12,19,4,W,I,N,B,B,E,3,H,B,15,1,A,M,N,36,15,Y,6,A,2,28,1,16,4,Y,N,E,5,4
57141,3,3,11,2,N,H,Y,A,D,D,8,A,B,20,1,A,B,N,36,13,Y,2,B,2,28,1,7,1,Y,N,E,2,1
87944,1,7,13,2,C,A,N,D,B,D,2,B,B,10,1,N,B,N,57,9,Y,12,A,1,40,1,16,6,N,N,E,1,8
19014,4,8,18,6,B,I,N,B,B,E,3,H,B,10,1,A,L,N,78,14,N,12,A,2,40,1,20,6,Y,N,E,2,3
82729,7,19,19,3,N,C,Y,B,B,D,3,L,B,5,1,A,B,Y,61,17,N,13,C,2,40,1,17,4,Y,Y,E,4,1
86803,3,1,21,1,C,A,N,B,B,D,7,F,B,15,1,A,E,N,36,19,Y,8,A,1,22,1,21,7,Y,N,C,2,6
2929,5,9,5,3,B,K,N,B,B,E,2,H,B,20,3,A,K,N,67,15,N,14,A,2,40,1,16,3,N,N,A,2,4
56097,4,19,22,4,E,C,N,B,B,D,2,B,B,15,3,A,E,N,73,18,N,4,B,1,37,1,8,7,N,N,E,1,1
91977,2,17,18,3,N,B,N,D,B,D,3,B,B,20,3,A,I,N,68,9,N,16,A,2,31,1,16,6,Y,N,C,2,2
51366,7,11,12,2,N,K,N,B,C,E,12,J,B,10,1,A,K,N,74,10,Y,9,A,1,34,1,16,5,Y,N,E,1,1
92110,8,7,4,3,N,A,N,B,B,D,3,L,C,5,3,C,I,N,56,8,N,4,A,2,34,1,18,7,Y,N,E,2,2
78792,7,12,13,2,N,H,N,A,B,E,3,J,B,20,1,A,Q,N,43,10,N,6,B,2,40,1,2,7,N,N,A,4,1
21896,1,15,9,2,N,K,Y,B,B,E,3,J,B,15,1,A,K,Y,79,10,N,17,A,2,31,1,25,4,Y,Y,E,2,1
50758,1,3,13,4,S,H,N,B,B,D,12,B,B,15,1,A,B,N,60,15,Y,15,A,2,31,1,20,6,Y,N,C,2,5
43226,4,15,18,2,B,H,N,B,B,D,8,B,B,10,1,A,A,N,14,12,N,10,A,1,37,1,21,1,Y,N,C,2,2
57817,1,19,18,1,N,B,N,B,B,D,7,B,B,20,1,A,B,N,48,9,N,12,B,2,34,1,18,4,N,N,A,3,1
62181,1,5,19,6,S,K,N,B,B,E,3,J,B,15,1,A,R,N,75,8,Y,15,A,1,34,1,14,4,N,N,A,1,6
19148,5,3,3,1,N,H,N,B,B,D,8,L,B,10,3,A,E,N,68,20,N,7,A,2,28,1,4,4,Y,N,E,2,3
32307,3,6,19,4,B,K,N,B,B,F,3,I,B,15,3,A,M,N,50,13,N,9,A,1,40,1,21,1,N,N,A,1,3
31509,10,19,22,3,E,K,N,B,B,E,2,J,B,20,3,A,K,N,78,28,N,9,A,2,40,1,2,7,Y,N,D,5,5
41818,11,3,17,4,B,H,Y,B,B,D,3,L,B,15,2,A,H,N,35,13,N,2,B,2,37,1,9,2,Y,N,D,2,1
60881,7,18,11,4,N,H,N,B,B,D,2,B,B,10,2,A,I,N,23,12,N,6,A,2,37,1,14,5,N,N,D,4,4
58360,4,8,18,4,B,H,Y,B,B,D,8,B,D,15,1,A,B,N,48,21,N,5,A,2,34,1,1,7,N,N,A,2,1
90352,4,2,5,5,C,K,N,B,B,E,3,H,B,10,3,N,K,N,49,12,N,5,A,1,34,1,23,1,Y,N,E,2,2
95231,3,12,18,3,B,C,N,B,B,D,8,B,B,15,2,A,A,N,33,16,Y,10,C,2,31,1,11,6,Y,N,E,2,1
27361,1,2,10,3,N,A,Y,B,B,D,8,B,B,20,2,N,B,N,59,12,N,13,B,3,25,1,25,6,Y,N,E,2,1
77781,2,2,13,4,C,A,N,B,B,D,3,B,B,15,1,N,B,N,53,16,Y,1,A,2,25,1,24,2,Y,N,E,2,4
45772,4,11,16,1,N,K,Y,B,D,E,3,J,B,15,1,A,K,N,38,10,N,9,A,2,31,1,16,4,N,N,A,3,2
2191,7,5,16,6,N,A,Y,B,B,D,12,B,B,10,1,A,B,Y,68,7,Y,9,A,2,34,1,7,7,Y,N,E,2,4
10314,1,11,1,1,N,H,Y,B,B,B,7,A,B,15,1,A,A,N,63,26,N,10,B,1,25,1,23,3,N,N,A,3,1
94913,1,13,19,4,B,C,Y,B,B,D,3,L,B,10,1,D,I,N,69,13,N,4,B,1,22,1,1,7,Y,N,D,2,1
58368,4,2,18,5,W,B,Y,B,B,D,8,B,B,15,1,A,B,N,60,18,N,20,A,1,37,1,25,3,Y,N,E,2,5
39184,1,16,3,2,N,A,N,B,B,D,3,B,B,20,1,A,A,N,37,9,Y,8,A,1,34,1,12,6,N,N,A,2,2
26621,16,16,8,4,W,A,Y,B,B,D,3,L,B,5,1,A,D,Y,69,9,N,15,B,1,31,1,17,4,N,Y,A,1,1
60106,4,2,6,4,N,K,N,B,A,F,8,H,C,20,1,A,R,N,93,16,Y,12,A,2,34,1,18,6,Y,N,E,2,1
50957,2,7,8,1,N,A,N,B,B,D,3,B,B,15,1,A,B,N,28,8,N,4,A,2,40,1,16,4,N,N,A,2,1
51586,4,7,13,6,B,A,Y,B,A,B,2,B,B,15,2,A,B,N,62,12,Y,9,A,2,37,1,1,4,N,N,A,2,6
63873,18,4,5,3,N,K,N,B,B,E,3,H,B,20,3,A,N,Y,83,7,Y,11,A,1,34,1,14,3,Y,Y,E,1,2
3331,4,11,12,3,N,A,Y,B,B,D,8,L,B,5,1,A,I,N,70,9,N,13,C,1,25,1,16,1,Y,N,E,1,1
11011,2,1,18,2,C,A,Y,B,B,B,12,B,B,15,3,A,B,N,40,17,Y,17,A,2,25,1,21,5,Y,N,C,2,1
97038,7,5,18,2,S,I,N,B,B,E,8,J,B,15,1,A,R,N,46,8,Y,11,A,2,34,1,21,4,N,N,A,3,7
21041,1,3,1,1,N,C,Y,B,B,D,7,B,B,5,3,A,B,N,12,10,Y,7,B,1,34,1,5,7,Y,N,D,2,1
8200,4,6,21,1,S,I,Y,B,B,E,7,H,B,20,1,A,N,Y,84,14,Y,12,A,2,40,1,12,4,Y,Y,E,2,6
61649,1,19,13,3,N,A,N,B,B,D,12,B,B,10,2,A,B,Y,64,12,Y,11,A,2,22,1,1,1,Y,Y,E,4,3
89197,4,2,19,1,C,K,Y,B,B,E,7,H,B,20,1,A,R,N,54,21,Y,14,C,2,40,1,24,1,Y,N,E,2,4
1589,23,15,13,1,B,K,N,B,C,G,2,H,B,5,1,C,K,N,73,19,N,10,A,3,37,1,24,3,N,N,A,3,4
74011,7,1,17,2,C,A,Y,B,B,C,8,L,C,10,3,A,B,N,42,22,N,18,A,2,31,1,21,1,Y,N,D,2,1
34765,5,5,18,4,S,A,N,B,B,D,12,L,B,15,1,D,I,Y,54,7,N,6,A,2,25,1,18,7,Y,Y,D,3,1
42263,2,14,17,2,W,A,Y,B,B,D,3,A,B,15,1,H,A,N,82,10,N,16,A,3,31,1,2,6,Y,N,C,3,11
80163,4,8,6,4,N,K,Y,B,C,E,8,H,B,10,1,A,K,N,93,21,N,16,A,2,37,1,15,7,Y,N,C,2,4
44156,1,3,7,5,C,H,N,B,B,B,3,B,C,15,2,D,B,N,86,17,N,12,A,1,31,1,2,7,Y,N,E,1,1
89017,10,5,6,4,B,A,N,D,B,D,8,B,B,15,1,A,I,Y,74,7,N,11,A,2,40,1,9,4,Y,Y,E,2,4
54501,1,6,7,2,B,A,N,D,B,D,3,B,A,10,3,A,B,N,53,9,Y,14,A,1,25,1,20,2,Y,N,C,1,3
89268,1,5,10,7,C,K,Y,B,B,E,12,H,B,15,1,N,R,Y,70,9,N,8,A,2,25,1,14,3,Y,Y,E,2,2
202,1,13,18,6,N,H,Y,B,B,F,12,J,B,15,2,A,K,Y,47,14,Y,16,B,2,40,1,1,6,Y,Y,D,2,1
100192,3,3,18,1,N,C,N,B,B,D,3,B,B,15,1,A,I,N,45,10,N,15,A,2,28,1,5,6,Y,N,E,2,1
41325,5,12,16,3,W,B,Y,B,B,D,7,L,B,10,1,A,B,Y,76,12,Y,19,A,2,22,1,1,6,Y,N,E,2,11
70939,1,5,13,3,C,A,Y,B,B,D,2,B,B,20,2,N,C,Y,63,8,Y,6,A,2,28,1,5,6,Y,Y,E,2,3
43309,5,3,4,3,E,K,Y,B,B,E,8,H,B,15,3,A,K,N,39,15,Y,9,A,1,31,1,18,3,N,N,A,1,1
78115,5,6,18,1,B,K,N,B,B,E,12,H,B,20,1,A,K,Y,97,8,N,20,C,2,25,1,6,3,Y,Y,E,2,1
74372,1,2,21,7,C,A,Y,B,B,D,3,L,B,10,2,D,A,N,59,24,Y,7,B,2,34,1,25,7,Y,N,E,3,1
54551,1,9,8,6,N,C,Y,B,B,D,3,B,B,10,1,A,I,N,72,10,N,9,A,2,34,1,16,6,N,N,A,4,6
33462,9,14,4,3,N,K,N,D,B,F,2,H,B,10,2,A,K,N,68,21,N,11,A,2,40,1,9,5,Y,N,E,2,7
58775,4,4,21,1,C,K,N,B,B,E,3,H,B,20,3,N,R,N,76,8,Y,22,A,2,37,2,25,2,Y,N,E,3,5
92068,3,5,6,4,N,A,Y,B,B,D,3,B,B,10,3,A,B,N,85,8,Y,8,A,1,37,1,5,7,Y,N,E,1,2
12127,2,7,8,4,B,A,N,B,B,B,8,B,B,15,2,A,B,N,55,10,N,11,B,1,22,1,15,2,N,N,A,3,1
66461,1,6,17,2,B,A,Y,B,B,D,12,B,B,15,1,A,B,N,57,10,N,5,B,1,37,1,18,6,Y,N,E,1,1
15564,2,4,18,3,B,H,N,B,B,D,3,A,B,10,3,A,A,Y,93,14,N,16,C,3,25,1,7,4,Y,Y,D,4,3
63610,1,15,23,4,N,K,Y,B,B,E,8,J,B,20,1,A,R,N,81,17,N,8,A,2,40,1,20,7,Y,N,E,5,1
2391,5,12,16,4,N,A,Y,B,B,D,12,B,B,10,1,A,A,N,40,9,Y,7,A,2,40,1,8,7,N,N,A,2,2
52807,4,8,18,5,N,H,N,B,B,D,12,B,B,15,1,A,B,N,98,17,N,11,C,2,31,1,9,2,Y,N,E,2,7
68165,1,4,3,2,N,A,Y,B,A,D,8,B,B,10,2,A,B,Y,97,6,N,14,C,3,40,1,20,1,N,Y,E,3,3
69251,1,15,16,1,N,K,N,B,B,F,2,H,B,5,1,A,N,N,40,15,N,5,A,2,28,1,19,4,Y,N,D,5,3
3582,2,9,4,3,N,C,N,D,B,D,3,B,B,10,1,A,B,N,87,10,N,8,B,2,40,1,9,2,N,N,A,3,1
75187,1,1,3,1,C,K,N,B,B,E,8,H,B,20,3,N,K,N,20,10,Y,16,A,2,25,1,21,7,N,N,C,1,12
26770,1,19,15,4,N,C,N,B,B,D,3,B,B,20,1,A,I,N,89,9,N,5,A,2,34,1,3,1,Y,N,E,3,3
96875,16,15,23,6,N,A,N,B,B,D,8,L,C,5,1,A,I,Y,89,12,Y,20,C,2,31,1,22,1,Y,Y,E,2,1
11187,1,10,19,2,N,C,Y,B,B,D,3,L,B,10,1,A,I,Y,66,14,Y,9,B,2,40,1,10,5,N,Y,E,2,6
52617,9,12,16,2,G,K,N,B,B,E,7,H,B,10,1,A,J,N,70,16,Y,11,A,1,37,1,24,7,N,N,E,1,1
10829,1,10,19,7,N,C,Y,B,B,D,2,E,B,10,1,A,I,N,24,14,N,9,A,2,40,1,21,7,Y,N,C,2,1
65848,1,7,14,1,B,K,Y,B,B,E,12,H,C,15,1,A,K,N,51,8,Y,5,A,2,37,1,24,4,Y,N,E,2,1
66362,10,13,18,6,S,A,N,B,B,D,3,L,B,20,1,A,I,N,47,11,N,11,A,3,34,1,5,6,N,N,A,4,2
100247,19,5,8,2,C,K,N,B,B,E,12,J,B,10,1,A,J,N,75,7,N,14,A,1,25,1,19,6,N,N,E,1,6
56156,6,15,18,4,N,K,N,D,B,E,12,J,B,15,1,A,R,N,68,12,N,5,A,4,34,1,18,6,N,N,A,4,2
33139,4,7,5,4,C,A,N,B,B,D,12,B,B,10,1,A,B,Y,90,8,Y,12,B,2,40,1,13,6,Y,Y,E,2,1
10810,7,15,22,3,N,K,N,B,B,E,3,J,B,10,1,A,N,Y,91,13,Y,17,C,2,25,1,22,3,Y,Y,D,2,1
43842,1,15,17,4,N,K,Y,B,B,F,3,J,B,15,1,A,N,N,83,11,Y,12,A,1,40,1,3,7,Y,N,C,1,2
53797,2,11,17,3,N,K,N,B,C,E,12,H,B,10,1,A,J,Y,50,13,N,12,A,2,31,1,20,3,Y,Y,E,2,4
51353,1,17,18,1,E,K,Y,B,B,E,12,H,D,5,1,A,R,Y,80,10,N,13,A,1,34,1,18,6,N,Y,A,1,1
91970,12,4,4,3,B,B,N,B,B,B,8,B,B,20,3,A,B,N,49,10,Y,16,A,2,22,1,18,6,Y,N,E,2,11
26412,3,7,13,3,B,H,Y,B,B,E,8,J,B,10,3,A,M,N,20,9,N,1,B,2,31,1,17,3,N,N,E,2,1
2536,5,19,12,2,B,K,N,B,B,E,3,H,D,20,1,H,K,Y,55,22,Y,9,A,4,37,1,15,6,Y,Y,E,6,4
56653,1,15,21,1,N,H,Y,B,B,E,12,J,B,20,1,A,R,N,9,13,N,5,B,1,40,1,17,6,N,N,A,1,1
49886,2,15,2,1,N,H,N,D,B,D,12,B,B,20,1,A,A,N,30,16,N,4,A,3,37,1,11,6,Y,N,C,3,2
67526,3,6,4,2,B,I,Y,B,B,E,7,J,B,5,3,A,R,N,97,7,N,15,A,1,40,1,18,3,Y,N,E,1,7
24601,2,12,18,2,N,B,N,B,B,D,3,L,B,15,1,A,A,Y,80,15,Y,13,A,2,40,1,10,3,Y,Y,E,2,1
86976,7,7,13,3,B,I,N,B,B,E,7,H,B,10,1,A,J,N,49,9,N,4,A,1,40,1,23,5,Y,N,E,2,1
33694,2,14,22,1,B,C,N,B,B,D,3,L,B,15,1,D,I,N,68,13,N,6,B,3,31,1,2,6,N,N,A,4,1
95503,7,18,1,1,N,B,Y,B,C,D,12,A,C,10,1,C,I,N,80,10,N,14,C,2,37,1,19,6,N,N,E,1,1
54352,1,15,12,1,N,H,Y,B,B,D,8,B,B,15,1,A,B,N,55,15,N,20,A,2,37,1,18,4,Y,N,E,2,9
56909,9,8,16,4,N,K,N,B,C,E,8,H,B,20,1,A,J,N,91,10,Y,6,A,2,31,1,21,7,Y,N,E,4,2
30665,4,14,2,2,E,H,N,B,B,D,8,A,B,20,1,H,E,N,86,19,Y,10,A,2,28,1,19,7,Y,N,A,2,2
101495,2,6,14,3,B,I,Y,B,B,F,12,H,B,10,1,A,M,Y,98,7,N,11,A,2,37,2,18,3,Y,Y,E,2,7
42811,2,4,16,2,B,H,Y,B,B,E,3,H,B,15,1,A,K,N,44,10,N,8,B,4,25,1,3,4,Y,N,C,5,1
32682,1,2,10,7,N,B,Y,B,B,D,3,B,B,10,3,A,A,N,54,11,N,10,C,1,31,1,21,4,Y,N,C,2,1
4417,7,15,16,4,N,K,N,B,C,E,12,H,B,15,1,A,K,N,86,10,Y,12,A,2,34,1,17,3,N,N,A,2,8
66279,2,2,16,3,N,K,N,B,B,E,2,H,B,5,1,N,K,N,49,14,N,13,A,2,40,1,23,6,Y,N,E,1,1
52540,17,19,6,4,B,C,N,B,B,D,3,L,B,10,3,A,D,Y,97,21,Y,15,B,2,37,1,5,7,Y,Y,D,6,1
54237,1,13,13,5,E,C,N,B,B,D,7,L,B,20,1,A,B,N,53,18,N,16,A,2,40,1,3,6,N,N,E,2,7
43245,2,18,7,5,S,I,Y,B,B,E,12,J,A,10,2,A,R,N,59,7,Y,15,A,2,34,1,3,4,Y,N,E,2,12
57366,1,19,2,2,C,K,N,B,B,E,12,H,B,15,1,A,J,N,27,21,N,17,A,2,34,1,17,5,N,N,A,2,2
75808,5,10,18,1,N,K,N,B,B,E,3,H,B,10,1,A,K,Y,68,11,N,15,C,2,31,1,22,4,Y,Y,D,4,10
89607,2,8,5,4,N,H,Y,B,B,B,7,B,B,5,1,A,C,N,46,18,Y,15,A,3,37,1,21,2,Y,N,C,3,4
26332,2,4,4,3,W,A,N,B,B,D,12,B,B,20,1,A,I,Y,77,8,N,19,A,2,25,1,11,4,Y,Y,D,2,3
33172,11,5,10,7,N,K,N,B,C,E,3,H,B,15,1,A,R,N,48,9,N,12,A,1,25,1,21,5,N,N,A,1,3
97817,1,6,7,1,B,H,N,B,B,E,2,J,B,15,2,A,K,N,44,9,Y,5,B,2,37,1,14,7,Y,N,E,2,1
74950,1,11,8,5,N,H,N,B,B,D,3,B,B,20,1,A,B,N,29,14,N,6,B,1,34,1,18,6,N,N,A,3,1
69335,1,2,5,5,C,K,N,B,B,E,12,H,B,10,1,A,R,N,46,17,Y,16,A,2,34,1,22,3,Y,N,E,4,1
67498,2,14,21,4,W,H,N,B,B,D,12,E,B,20,3,A,A,N,71,20,N,18,A,1,40,1,12,2,N,N,A,1,1
18103,8,19,18,6,E,H,Y,B,D,E,3,H,B,20,1,A,R,N,65,18,N,12,E,2,34,1,1,7,Y,N,D,2,11
47618,2,16,6,4,N,K,N,D,B,E,8,H,B,10,1,A,J,Y,92,6,N,13,A,1,37,1,4,6,Y,Y,C,3,5
53635,1,6,17,1,B,A,N,B,B,D,12,B,B,20,3,A,B,N,88,10,N,14,A,1,34,1,17,7,Y,N,C,1,7
33372,6,14,11,7,B,I,Y,B,B,E,3,H,B,10,1,A,N,N,71,18,N,14,A,3,28,1,17,5,Y,N,C,3,10
101090,1,11,1,1,N,C,N,B,B,D,12,B,B,20,1,A,I,N,30,11,N,7,B,2,28,1,17,6,Y,N,E,4,1
32460,1,6,16,5,B,A,N,B,B,D,7,B,B,15,1,A,B,N,62,9,Y,12,A,1,40,1,17,1,N,N,A,5,5
28095,1,9,18,1,N,K,Y,B,B,E,3,H,B,10,1,A,K,Y,49,14,N,6,C,1,37,1,1,6,Y,Y,E,1,1
19551,8,17,10,4,B,I,Y,B,B,E,3,H,B,10,1,A,L,N,21,8,N,9,A,2,31,1,5,5,N,N,A,2,4
51504,2,7,16,4,B,I,N,B,B,E,7,H,D,20,1,A,K,N,63,9,Y,11,A,1,31,1,22,4,Y,N,E,1,1
72035,5,15,8,5,N,K,N,B,B,F,8,H,B,15,1,A,K,N,47,16,N,9,A,2,37,1,20,4,Y,N,E,2,6
