transaction_date,stock_date,product_id,customer_id,store_id,quantity
1/2/2020,12/28/2019,969,4707,11,7
1/2/2020,12/30/2019,386,4707,11,13
1/2/2020,1/1/2018,576,4707,11,16
1/2/2020,12/28/2019,199,6148,11,51
1/2/2020,12/30/2019,309,6148,11,19
1/2/2020,1/1/2018,392,6148,11,38
1/2/2020,12/29/2019,143,6148,11,3
1/2/2020,12/27/2019,892,6148,11,2
1/2/2020,12/28/2019,203,6148,11,22
1/2/2020,12/27/2019,750,2158,11,3
1/2/2020,12/31/2019,1432,2158,11,47
1/2/2020,12/31/2019,529,2158,11,56
1/2/2020,12/26/2019,1265,2158,11,22
1/2/2020,12/31/2019,916,7800,11,33
1/2/2020,12/26/2019,933,7800,11,15
1/2/2020,12/28/2019,883,7800,11,45
1/2/2020,12/26/2019,1238,5302,11,22
1/2/2020,1/1/2018,696,5302,11,38
1/2/2020,12/31/2019,1039,3596,11,49
1/2/2020,12/31/2019,1029,3596,11,52
1/2/2020,12/28/2019,652,2047,11,14
1/2/2020,12/30/2019,1075,1214,11,3
1/2/2020,12/30/2019,26,1214,11,33
1/2/2020,12/28/2019,469,1214,11,39
1/2/2020,12/30/2019,1112,1214,11,49
1/2/2020,12/27/2019,403,9062,11,50
1/2/2020,12/29/2019,1312,9062,11,38
1/2/2020,12/31/2019,509,8321,11,56
1/2/2020,12/26/2019,579,8321,11,11
1/2/2020,12/26/2019,1195,8321,11,10
1/2/2020,12/30/2019,492,8321,11,17
1/2/2020,12/28/2019,629,8321,11,58
1/2/2020,12/30/2019,1255,3718,11,30
1/2/2020,12/31/2019,1432,3718,11,19
1/2/2020,12/30/2019,1315,3718,11,46
1/2/2020,1/1/2018,107,3718,11,28
1/2/2020,12/30/2019,616,3718,11,19
1/2/2020,12/26/2019,733,7828,11,13
1/2/2020,12/29/2019,710,7828,11,52
1/2/2020,12/26/2019,1192,7828,11,31
1/2/2020,1/1/2018,889,7828,11,41
1/2/2020,12/31/2019,972,7828,11,4
1/2/2020,12/27/2019,722,7828,11,28
1/2/2020,12/30/2019,1471,7828,11,9
1/2/2020,12/27/2019,190,4468,11,59
1/2/2020,12/29/2019,367,4468,11,44
1/2/2020,12/30/2019,250,4468,11,48
1/2/2020,12/27/2019,600,4468,11,24
1/2/2020,12/26/2019,1109,4468,11,14
1/2/2020,1/1/2018,1236,4468,11,14
1/2/2020,12/27/2019,1313,6579,11,17
1/2/2020,12/26/2019,404,5396,11,4
1/2/2020,12/31/2019,114,5396,11,16
1/2/2020,12/30/2019,1396,5396,11,12
1/2/2020,12/30/2019,254,5396,11,23
1/2/2020,1/1/2018,564,5396,11,4
1/2/2020,12/26/2019,48,5396,11,58
1/2/2020,1/1/2018,857,6651,11,12
1/2/2020,12/27/2019,1140,6651,11,4
1/2/2020,12/31/2019,1435,6651,11,24
1/2/2020,1/1/2018,1279,6651,11,20
1/2/2020,12/27/2019,401,7197,11,16
1/2/2020,1/1/2018,511,7197,11,5
1/2/2020,12/28/2019,594,7197,11,18
1/2/2020,12/29/2019,345,7197,11,18
1/2/2020,12/31/2019,1093,7197,11,11
1/2/2020,1/1/2018,1549,7197,11,53
1/2/2020,12/29/2019,1326,7197,11,2
1/2/2020,12/27/2019,1016,1730,11,8
1/2/2020,1/1/2018,1366,1730,11,55
1/2/2020,12/30/2019,318,1730,11,49
1/2/2020,12/29/2019,761,1730,11,48
1/2/2020,1/1/2018,1403,1730,11,7
1/2/2020,12/26/2019,214,9602,11,58
1/2/2020,1/1/2018,324,9602,11,12
1/2/2020,12/29/2019,407,9602,11,5
1/2/2020,12/29/2019,158,9602,11,30
1/2/2020,12/27/2019,907,9602,11,48
1/2/2020,1/1/2018,1362,9602,11,30
1/2/2020,12/30/2019,254,8558,11,26
1/2/2020,1/1/2018,936,8558,11,26
1/2/2020,12/30/2019,447,8558,11,6
1/2/2020,12/27/2019,770,8558,11,39
1/2/2020,12/30/2019,420,4707,11,48
1/2/2020,12/30/2019,437,4707,11,21
1/2/2020,12/30/2019,387,4707,11,15
1/2/2020,12/31/2019,1156,2376,11,18
1/2/2020,12/31/2019,613,2376,11,2
1/2/2020,1/1/2018,270,2376,11,10
1/2/2020,12/28/2019,886,2376,11,56
1/2/2020,12/28/2019,597,2376,11,35
1/2/2020,12/27/2019,320,2376,11,45
1/2/2020,12/31/2019,721,3718,11,37
1/2/2020,12/27/2019,750,3718,11,51
1/2/2020,12/30/2019,521,8139,11,60
1/2/2020,12/30/2019,302,8139,11,59
1/2/2020,12/31/2019,498,5396,11,23
1/2/2020,12/31/2019,980,5396,11,13
1/2/2020,12/30/2019,1091,5396,11,20
1/2/2020,12/28/2019,1174,5396,11,47
1/2/2020,12/28/2019,924,5396,11,26
1/2/2020,12/31/2019,814,2352,11,25
1/2/2020,12/31/2019,32,2352,11,17
1/2/2020,12/31/2019,1234,2352,11,50
1/2/2020,12/28/2019,1157,2352,11,3
1/2/2020,12/28/2019,1247,8906,11,41
1/2/2020,12/29/2019,292,8906,11,1
1/2/2020,12/26/2019,868,8906,11,6
1/2/2020,12/31/2019,697,8906,11,6
1/2/2020,12/29/2019,938,6057,11,6
1/2/2020,12/27/2019,462,6057,11,59
1/2/2020,12/30/2019,1477,6057,11,40
1/2/2020,1/1/2018,1547,6057,11,53
1/2/2020,12/30/2019,605,6057,11,56
1/2/2020,12/31/2019,1148,740,11,51
1/2/2020,12/31/2019,245,740,11,48
1/2/2020,12/27/2019,982,740,11,29
1/2/2020,12/28/2019,1044,1811,11,57
1/2/2020,12/26/2019,1287,1811,11,38
1/2/2020,12/31/2019,971,1811,11,58
1/2/2020,12/31/2019,362,1811,11,40
1/2/2020,12/27/2019,1470,8746,23,56
1/2/2020,12/31/2019,1408,8746,23,10
1/2/2020,12/30/2019,865,8746,23,55
1/2/2020,12/27/2019,252,2682,23,30
1/2/2020,12/31/2019,1188,2682,23,40
1/2/2020,12/30/2019,352,2682,23,5
1/2/2020,1/1/2018,889,2682,23,5
1/2/2020,12/28/2019,1251,2682,23,25
1/2/2020,12/28/2019,895,2682,23,60
1/2/2020,12/31/2019,1278,9512,23,36
1/2/2020,12/28/2019,1228,9512,23,21
1/2/2020,1/1/2018,1378,9512,23,50
1/2/2020,12/27/2019,928,9512,23,21
1/2/2020,1/1/2018,718,9512,23,31
1/2/2020,12/31/2019,935,9512,23,38
1/2/2020,12/30/2019,745,5923,23,11
1/2/2020,12/29/2019,1268,5923,23,26
1/2/2020,12/29/2019,845,5923,23,23
1/2/2020,12/27/2019,968,5923,23,39
1/2/2020,12/29/2019,186,5923,23,11
1/2/2020,12/28/2019,1388,5923,23,33
1/2/2020,12/30/2019,1091,5019,23,43
1/2/2020,12/31/2019,1041,5019,23,1
1/2/2020,12/27/2019,1191,5019,23,24
1/2/2020,12/27/2019,742,5019,23,45
1/2/2020,12/30/2019,532,5019,23,58
1/2/2020,12/26/2019,382,8577,23,42
1/2/2020,12/29/2019,1197,8577,23,17
1/2/2020,12/30/2019,309,8577,23,43
1/2/2020,12/27/2019,272,8577,23,26
1/2/2020,12/28/2019,1405,3075,23,47
1/2/2020,1/1/2018,489,3075,23,8
1/2/2020,12/31/2019,119,3075,23,17
1/2/2020,12/26/2019,402,3075,23,14
1/2/2020,12/28/2019,1111,3075,23,45
1/2/2020,12/28/2019,1482,588,23,34
1/2/2020,12/31/2019,672,588,23,11
1/2/2020,12/31/2019,1361,2952,23,16
1/2/2020,12/28/2019,206,2952,23,16
1/2/2020,12/28/2019,589,5353,23,15
1/2/2020,1/1/2018,1378,5353,23,9
1/2/2020,12/27/2019,157,5353,23,36
1/2/2020,12/30/2019,1531,5353,23,18
1/2/2020,12/28/2019,523,5353,23,4
1/2/2020,12/29/2019,19,5353,23,60
1/2/2020,12/26/2019,154,2829,23,5
1/2/2020,12/28/2019,370,2829,23,37
1/2/2020,12/30/2019,865,2829,23,58
1/2/2020,12/30/2019,110,2829,23,25
1/2/2020,12/29/2019,87,2829,23,18
1/2/2020,12/28/2019,570,2829,23,33
1/2/2020,12/30/2019,266,2829,23,37
1/2/2020,12/31/2019,609,1197,23,38
1/2/2020,12/31/2019,1292,1197,23,32
1/2/2020,12/26/2019,803,1197,23,20
1/2/2020,12/27/2019,1125,1197,23,3
1/2/2020,12/26/2019,873,569,23,37
1/2/2020,12/30/2019,890,569,23,15
1/2/2020,12/31/2019,840,569,23,7
1/2/2020,12/31/2019,989,569,23,43
1/2/2020,12/26/2019,540,569,23,22
1/2/2020,12/27/2019,590,6888,23,5
1/2/2020,12/26/2019,180,6888,23,13
1/2/2020,1/1/2018,996,6888,23,60
1/2/2020,1/1/2018,107,6888,23,14
1/2/2020,12/29/2019,484,6888,23,18
1/3/2020,1/2/2018,1060,4728,7,37
1/3/2020,12/30/2019,810,4728,7,19
1/3/2020,12/29/2019,1,4728,7,21
1/3/2020,1/1/2018,457,4728,7,54
1/3/2020,12/28/2019,234,4728,7,11
1/3/2020,12/28/2019,1140,1928,7,23
1/3/2020,12/30/2019,957,1928,7,44
1/3/2020,12/28/2019,1506,1928,7,13
1/3/2020,12/30/2019,1417,1928,7,38
1/3/2020,12/28/2019,681,964,7,11
1/3/2020,12/28/2019,365,964,7,42
1/3/2020,12/28/2019,1313,964,7,47
1/3/2020,1/2/2018,688,1215,7,17
1/3/2020,1/1/2018,1144,1215,7,27
1/3/2020,1/2/2018,921,1215,7,48
1/3/2020,12/29/2019,445,1215,7,11
1/3/2020,12/30/2019,1460,1215,7,18
1/3/2020,12/31/2019,1531,1215,7,43
1/3/2020,12/28/2019,588,1215,7,55
1/3/2020,12/30/2019,584,404,7,55
1/3/2020,12/27/2019,628,404,7,2
1/3/2020,12/30/2019,345,9019,7,36
1/3/2020,12/29/2019,202,9019,7,52
1/3/2020,1/2/2018,218,9019,7,54
1/3/2020,1/1/2018,168,9019,7,51
1/3/2020,12/31/2019,318,9019,7,32
1/3/2020,12/29/2019,1198,9552,7,31
1/3/2020,12/31/2019,815,9552,7,56
1/3/2020,12/29/2019,819,9552,7,36
1/3/2020,12/28/2019,77,9552,7,39
1/3/2020,12/31/2019,333,9552,7,48
1/3/2020,12/30/2019,709,9552,7,52
1/3/2020,12/29/2019,93,2760,7,37
1/3/2020,1/2/2018,283,2760,7,56
1/3/2020,1/1/2018,859,2760,7,20
1/3/2020,12/29/2019,1102,2760,7,9
1/3/2020,1/1/2018,929,7459,7,39
1/3/2020,12/31/2019,447,5220,7,2
1/3/2020,12/29/2019,923,255,7,49
1/3/2020,12/29/2019,1299,255,7,19
1/3/2020,1/1/2018,457,9883,7,5
1/3/2020,12/29/2019,1139,9883,7,14
1/3/2020,12/30/2019,236,9883,7,60
1/3/2020,12/27/2019,873,8124,7,53
1/3/2020,12/29/2019,1449,8124,7,6
1/3/2020,12/28/2019,1206,9390,7,47
1/3/2020,1/2/2018,37,9390,7,1
1/3/2020,12/30/2019,571,5717,7,52
1/3/2020,1/2/2018,1186,5717,7,11
1/3/2020,12/29/2019,483,5717,7,44
1/3/2020,1/1/2018,427,240,7,45
1/3/2020,12/27/2019,1203,240,7,12
1/3/2020,12/30/2019,1559,4544,7,21
1/3/2020,12/28/2019,510,4544,7,56
1/3/2020,1/1/2018,953,4544,7,22
1/3/2020,12/29/2019,135,4544,7,54
1/3/2020,12/30/2019,1323,4544,7,56
1/3/2020,12/27/2019,48,4544,7,56
1/3/2020,1/1/2018,551,6466,7,23
1/3/2020,1/2/2018,75,6466,7,33
1/3/2020,12/31/2019,1090,6466,7,44
1/3/2020,1/2/2018,1161,6466,7,43
1/3/2020,1/1/2018,1023,2869,7,50
1/3/2020,12/28/2019,681,2869,7,2
1/3/2020,1/2/2018,864,213,7,13
1/3/2020,1/1/2018,1093,213,7,34
1/3/2020,1/2/2018,1136,213,7,4
1/3/2020,1/2/2018,826,240,7,48
1/3/2020,1/1/2018,377,240,7,36
1/3/2020,12/27/2019,581,240,7,24
1/3/2020,1/2/2018,797,240,7,26
1/3/2020,1/1/2018,820,4016,7,10
1/3/2020,12/30/2019,810,4016,7,37
1/3/2020,1/1/2018,427,4016,7,42
1/3/2020,1/2/2018,431,4016,7,51
1/3/2020,12/28/2019,1246,4016,7,21
1/3/2020,12/27/2019,1502,4016,7,38
1/3/2020,12/27/2019,385,5736,7,33
1/3/2020,12/28/2019,1360,5736,7,46
1/3/2020,1/1/2018,1550,5736,7,35
1/3/2020,12/30/2019,568,5736,7,33
1/3/2020,12/31/2019,811,5736,7,37
1/3/2020,12/30/2019,495,5736,7,27
1/3/2020,12/29/2019,1443,5736,7,23
1/3/2020,12/31/2019,534,7223,7,18
1/3/2020,12/28/2019,911,7223,7,51
1/3/2020,1/1/2018,1340,7223,7,17
1/3/2020,12/30/2019,784,7223,7,34
1/3/2020,1/1/2018,1306,7223,7,58
1/3/2020,12/29/2019,884,7223,7,60
1/3/2020,12/29/2019,671,6439,7,11
1/3/2020,12/31/2019,62,6439,7,34
1/3/2020,1/1/2018,332,6439,7,18
1/3/2020,1/2/2018,349,6439,7,25
1/3/2020,12/29/2019,299,6439,7,10
1/3/2020,12/29/2019,28,1632,7,43
1/3/2020,12/29/2019,432,1632,7,35
1/3/2020,12/30/2019,49,1632,7,48
1/3/2020,12/30/2019,1197,1632,7,16
1/3/2020,1/1/2018,455,1632,7,47
1/3/2020,12/27/2019,838,3076,7,58
1/3/2020,12/31/2019,1120,3076,7,51
1/3/2020,12/28/2019,272,3076,7,30
1/3/2020,12/29/2019,213,3076,7,57
1/3/2020,1/2/2018,1095,3076,7,58
1/3/2020,1/2/2018,1151,3076,7,54
1/3/2020,12/29/2019,1388,7795,7,60
1/3/2020,12/30/2019,685,7795,7,10
1/3/2020,12/29/2019,822,7795,7,46
1/3/2020,12/27/2019,1238,7795,7,12
1/3/2020,1/1/2018,835,6236,7,9
1/3/2020,1/2/2018,1517,6236,7,51
1/3/2020,12/29/2019,1028,6236,7,59
1/3/2020,12/31/2019,1351,6236,7,56
1/3/2020,12/29/2019,1527,6236,7,29
1/3/2020,12/31/2019,1411,6236,7,1
1/3/2020,1/1/2018,609,8296,7,13
1/3/2020,12/29/2019,1058,2208,7,36
1/3/2020,12/29/2019,515,2208,7,14
1/3/2020,12/30/2019,172,2208,7,57
1/3/2020,12/28/2019,788,2208,7,9
1/3/2020,1/1/2018,498,2208,7,22
1/3/2020,1/1/2018,841,1632,7,22
1/3/2020,1/2/2018,1164,1632,7,28
1/3/2020,1/1/2018,1341,1632,7,15
1/3/2020,12/28/2019,1224,1632,7,60
1/3/2020,12/29/2019,16,1632,7,10
1/3/2020,1/1/2018,525,1632,7,39
1/3/2020,12/30/2019,1200,1289,23,60
1/3/2020,1/1/2018,245,1289,23,19
1/3/2020,12/29/2019,1324,6105,23,6
1/3/2020,12/31/2019,675,6105,23,47
1/3/2020,12/27/2019,1064,6105,23,34
1/3/2020,1/1/2018,1041,6105,23,14
1/3/2020,12/31/2019,1524,6105,23,50
1/3/2020,1/1/2018,721,5568,23,36
1/3/2020,12/27/2019,99,5568,23,39
1/3/2020,12/29/2019,522,4610,23,14
1/3/2020,12/27/2019,698,4610,23,32
1/3/2020,12/31/2019,815,9667,23,34
1/3/2020,1/1/2018,232,9667,23,37
1/3/2020,12/27/2019,422,9667,23,56
1/3/2020,12/31/2019,998,9667,23,6
1/3/2020,1/1/2018,146,588,23,1
1/3/2020,1/2/2018,1068,588,23,29
1/3/2020,1/2/2018,1005,588,23,3
1/3/2020,12/28/2019,463,588,23,43
1/3/2020,12/28/2019,752,9512,23,28
1/3/2020,1/2/2018,396,9512,23,41
1/3/2020,1/1/2018,473,8577,23,49
1/3/2020,12/28/2019,502,8577,23,33
1/3/2020,12/31/2019,1145,8577,23,56
1/3/2020,1/2/2018,1189,8577,23,2
1/3/2020,12/31/2019,1471,8577,23,54
1/3/2020,1/1/2018,623,8577,23,47
1/3/2020,12/28/2019,53,8577,23,25
1/3/2020,12/27/2019,759,9063,23,8
1/3/2020,12/31/2019,1175,9063,23,19
1/3/2020,1/2/2018,1485,9063,23,56
1/3/2020,12/29/2019,969,9063,23,25
1/3/2020,12/31/2019,959,9063,23,34
1/3/2020,12/30/2019,649,1802,23,17
1/3/2020,1/1/2018,1092,1802,23,32
1/3/2020,1/2/2018,177,1802,23,25
1/3/2020,12/30/2019,639,9169,23,45
1/3/2020,1/2/2018,789,9169,23,59
1/3/2020,12/31/2019,340,9169,23,42
1/3/2020,12/30/2019,130,9169,23,32
1/3/2020,12/29/2019,1299,3921,23,13
1/3/2020,12/31/2019,369,3921,23,44
1/3/2020,1/1/2018,772,3921,23,38
1/3/2020,12/30/2019,390,3921,23,6
1/3/2020,12/28/2019,1538,3921,23,48
1/3/2020,12/30/2019,1548,3197,23,58
1/3/2020,12/28/2019,1178,3197,23,56
1/3/2020,12/29/2019,1461,3197,23,41
1/3/2020,1/1/2018,612,3197,23,18
1/3/2020,12/30/2019,653,2011,23,30
1/3/2020,1/2/2018,1136,2011,23,2
1/3/2020,12/28/2019,1246,2011,23,2
1/3/2020,12/30/2019,1329,2011,23,37
1/3/2020,1/2/2018,460,9498,23,42
1/3/2020,1/2/2018,976,6541,23,32
1/3/2020,12/30/2019,1312,6541,23,36
1/3/2020,12/30/2019,1496,3819,23,43
1/3/2020,1/1/2018,166,3819,23,49
1/3/2020,12/30/2019,210,3819,23,39
1/3/2020,1/2/2018,493,3819,23,6
1/3/2020,1/1/2018,1202,3819,23,8
1/4/2020,1/2/2018,544,2274,14,2
1/4/2020,12/31/2019,1520,2274,14,43
1/4/2020,12/28/2019,151,2274,14,37
1/4/2020,12/31/2019,484,8648,14,25
1/4/2020,12/28/2019,1287,8648,14,14
1/4/2020,12/30/2019,1264,8648,14,25
1/4/2020,12/31/2019,188,8648,14,29
1/4/2020,12/30/2019,1443,8648,14,25
1/4/2020,1/1/2018,1526,8648,14,56
1/4/2020,1/1/2018,1276,8648,14,51
1/4/2020,12/30/2019,384,5,14,3
1/4/2020,1/3/2018,1007,8762,14,52
1/4/2020,12/29/2019,518,8762,14,17
1/5/2020,1/3/2018,337,6280,2,48
1/5/2020,1/3/2018,1512,6280,2,7
1/5/2020,12/31/2019,963,4018,2,8
1/5/2020,1/3/2018,181,4018,2,19
1/5/2020,1/1/2018,1383,4018,2,39
1/5/2020,1/3/2018,1306,4018,2,23
1/5/2020,12/31/2019,1196,1418,2,19
1/5/2020,1/1/2018,360,1418,2,50
1/5/2020,12/29/2019,1242,1418,2,30
1/5/2020,12/29/2019,154,1418,2,12
1/5/2020,12/31/2019,483,4382,2,17
1/5/2020,12/30/2019,77,1293,2,37
1/5/2020,1/3/2018,533,1293,2,40
1/5/2020,1/4/2018,310,1293,2,1
1/5/2020,1/3/2018,1392,1293,2,41
1/5/2020,1/4/2018,1026,3480,7,27
1/5/2020,1/4/2018,83,3480,7,14
1/5/2020,12/30/2019,1352,3480,7,36
1/5/2020,12/31/2019,1076,3480,7,36
1/5/2020,1/3/2018,1492,3480,7,40
1/5/2020,12/29/2019,244,3480,7,51
1/5/2020,12/30/2019,590,7300,7,13
1/5/2020,12/30/2019,634,7300,7,60
1/5/2020,1/2/2018,917,7300,7,8
1/5/2020,12/29/2019,1212,7300,7,60
1/5/2020,12/30/2019,1056,7300,7,44
1/5/2020,12/30/2019,380,7300,7,45
1/5/2020,12/29/2019,850,7300,7,3
1/5/2020,12/30/2019,834,2890,7,46
1/5/2020,1/3/2018,1462,2890,7,26
1/5/2020,12/31/2019,307,2890,7,2
1/5/2020,1/3/2018,721,10210,7,33
1/5/2020,1/2/2018,631,10210,7,5
1/5/2020,1/3/2018,1093,8782,7,14
1/5/2020,12/29/2019,244,8782,7,23
1/5/2020,1/2/2018,88,8782,7,31
1/5/2020,1/2/2018,970,8782,7,18
1/5/2020,1/3/2018,781,1023,7,45
1/5/2020,1/4/2018,864,1023,7,35
1/5/2020,1/1/2018,614,1023,7,55
1/5/2020,1/4/2018,1363,1023,7,20
1/5/2020,12/31/2019,1426,9507,7,42
1/5/2020,12/29/2019,804,9507,7,41
1/5/2020,1/2/2018,1526,9507,7,60
1/5/2020,12/31/2019,504,9507,7,34
1/5/2020,12/30/2019,678,5009,7,53
1/5/2020,12/31/2019,2,5009,7,41
1/5/2020,1/4/2018,59,5009,7,9
1/5/2020,12/30/2019,1034,5009,7,15
1/5/2020,12/29/2019,791,5648,7,45
1/5/2020,1/1/2018,1540,5648,7,58
1/5/2020,12/30/2019,851,5648,7,10
1/5/2020,1/3/2018,215,5648,7,33
1/5/2020,1/3/2018,152,5648,7,48
1/5/2020,1/3/2018,841,1150,7,59
1/5/2020,1/2/2018,1390,1150,7,42
1/5/2020,1/4/2018,1300,1150,7,43
1/5/2020,12/29/2019,425,1150,7,15
1/5/2020,1/3/2018,1494,1150,7,60
1/5/2020,12/31/2019,904,8154,7,17
1/5/2020,1/3/2018,454,8154,7,60
1/5/2020,12/29/2019,244,8154,7,42
1/5/2020,12/30/2019,461,8154,7,23
1/5/2020,12/30/2019,897,1599,7,31
1/5/2020,12/30/2019,887,1599,7,27
1/5/2020,12/31/2019,504,1599,7,6
1/5/2020,12/31/2019,94,1599,7,21
1/5/2020,1/3/2018,910,1599,7,32
1/5/2020,1/2/2018,22,1599,7,1
1/5/2020,12/30/2019,365,3632,7,2
1/5/2020,12/29/2019,927,3632,7,9
1/5/2020,12/29/2019,69,3632,7,55
1/5/2020,1/3/2018,645,3632,7,32
